"id","title","type","sprint_id","module","owner_id","priority","status","estimated_hours","actual_hours","blocker","blocker_date","created_date","description","steps_to_reproduce","test_reproduced","closed_date","in_progress_date","blocked_hours","qa_status","qa_in_progress_date","qa_actual_hours","qa_fixing_in_progress_date","qa_fixing_hours","qa_sprint_id"
task-1768210546147,GitLab basic checks (MVP),Sprint,sprint-1768200585609,Integration,21,High,Done,1.0,3.1120486,,,"2026-01-12","Implement basic GitLab repository checks (MVP).

Scope:
- Check branch protection for main/master
- Fetch pipeline status
- Track last commit activity",,0,"2026-01-27T08:41:06Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768203210303,GitLab integration – Authentication,Sprint,sprint-1768200585609,Integration,21,High,Done,2.0,6.6772876,,,"2026-01-12","Implement GitLab authentication flow for product integration.

Scope:
- Decide authentication method (OAuth / Personal Access Token)
- Implement backend API to connect GitLab
- Receive and validate access token
- Securely store token in database
- Handle authentication errors

Acceptance Criteria:
- User can connect GitLab successfully
- Valid token is received and stored
- GitLab API can be accessed using the token
- Proper error handling for invalid/expired tokens",,0,"2026-01-20T05:28:46Z",,0.01313813048611111,,,0.0,,0.0,
task-1768210438195,GitLab repository sync,Sprint,sprint-1768200585609,Integration,21,High,Done,1.0,0.24452546,,,"2026-01-12","Fetch and sync GitLab repositories for connected user.

Scope:
- Fetch repository list
- Store repository metadata
- Map repositories to organization/user",,0,"2026-01-27T08:41:15Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768210636986,GitLab integration testing and bug fixes,Sprint,sprint-1769504239258,Integration,21,High,Done,1.0,4.4155297,,,"2026-01-12","Test GitLab integration end-to-end and fix issues.

Scope:
- Postman testing
- Error scenario testing
- Bug fixes and stabilization",,0,"2026-01-27T09:12:55Z",,0.0000274413310185,Ready to Test,,0.0,,0.0,
task-1769510526595,Manual Testing for Approvals,Sprint,sprint-1769504239258,Approvals,26,Medium,Done,1.5,1.9921242,,,"2026-01-27","1. Maintainence and Regression Testing",,0,"2026-01-29T13:20:59Z",,0.11814348445601852,Ready to Test,,0.0,,0.0,
task-1768201410783,Bitbucket Authentication and Connection,Sprint,sprint-1768200585609,Integration,18,High,Done,1.0,6.4451737,,,"2026-01-12",Bitbucket authentication and connection using the Oauth method and also need to encrypt the secrets and keys from the bitbucket.,,0,"2026-01-19T10:41:03Z",,0.0,,,0.0,,0.0,
task-1768207166863,Bitbucket webhook implementation,Sprint,sprint-1768200585609,Integration,18,High,Done,1.0,2.7827547,,,"2026-01-12","After successful implementation of Oauth, to Invoke the webhook custom bitbucket API using the credentials stored after the Oauth connection.",,0,"2026-01-22T05:30:51Z",,0.0,,,0.0,,0.0,
task-1768213668282,Sub-Clause Inheritance Guardrails,Sprint,sprint-1768200585609,AI AUTO-MAPPING,25,Medium,Done,1.0,0.0019328704,,,"2026-01-12",make the AI to distinguish between the class and sub class for the mapping ,,0,"2026-01-19T10:42:35Z",,0.0,,,0.0,,0.0,
SP-073,Risk Assessment Updates,Sprint,,"",30,Medium,To Do,0.0,0.0,,,"2026-02-06","1. Include Dashboard, KRI, 31000",,0,,,0.0,,,0.0,,0.0,
task-1768205934381,End-to-End Testing & Error Handling,Sprint,sprint-1768200585609,Integartion,24,High,Done,2.0,0.0,,,"2026-01-12","Perform full integration testing, improve error messages, and finalize GitHub connection workflow with edge-case handling.",,0,"2026-01-27T05:31:12Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768203377366,GitLab token storage and validation,Sprint,sprint-1768200585609,Integration,21,High,Done,2.0,2.1266088,,,"2026-01-12","Implement secure storage and validation of GitLab access tokens.

Scope:
- Encrypt token before storing
- Validate token before API calls
- Handle token expiry or revocation",,0,"2026-01-22T09:10:19Z",,0.0,,,0.0,,0.0,
task-1769510374691,Testcase updation in Approval module.,Sprint,sprint-1769504239258,Approvals,26,Medium,Done,2.0,1.107905,,,"2026-01-27",Testcase updation on approvals module.,,0,"2026-01-29T13:21:03Z",,1.0041999972685185,Ready to Test,,0.0,,0.0,
task-1767330996588,test - task,Sprint,sprint-1767186388824,"",21,Medium,In Progress,0.0,0.0,,,"2026-01-02","",,0,,"2026-01-13",0.0,,,0.0,,0.0,
SP-077,TPRM Questionare/Risk Table,Sprint,sprint-1770615834256,"",30,Medium,Done,0.0,2.0,,,"2026-02-06","",,0,"2026-02-12T20:18:26Z",,0.0,Ready to Test,,0.0,,0.0,
SP-018,AI Chatbot Verification,Sprint,sprint-1771825655592,"",30,Medium,Blocked,0.0,14.03303,Working on other modules will pick the task after that,"2026-02-06T05:40:27.117Z","2026-01-29",Partially done by Siddharth,,0,,,0.0,,,0.0,,0.0,
task-1768888579226,Integration Connection Implementation,Sprint,sprint-1768200585609,Integration,23,High,Done,0.5,0.0,,,"2026-01-20","Implemented the integration connection logic for Google Workspace by handling authentication flow, API integration, connection status validation, and redirect handling to ensure a secure and reliable setup.",,0,"2026-01-20T06:02:51Z",,0.0,,,0.0,,0.0,
SP-060,SSO API check,Sprint,sprint-1769504239258,"",19,Medium,Done,1.0,2.5611806,,,"2026-02-05","",,0,"2026-02-06T05:32:00Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768888940259,Data Encryption Implementation,Sprint,sprint-1768200585609,Integration,23,High,Done,2.0,0.045868054,,,"2026-01-20","Implemented data encryption mechanisms to securely protect sensitive information during storage and transmission, ensuring compliance with security standards and preventing unauthorized access.",,0,"2026-01-27T06:38:54Z",,0.0,,,0.0,,0.0,
task-1768888772210,google workspace checks implementation,Sprint,sprint-1768200585609,Integration,23,High,Done,3.0,6.9611344,,,"2026-01-20","Implemented validation and status checks for Google Workspace integration by verifying authentication results, handling test connection responses, and ensuring accurate success or failure states are reflected in the application.",,0,"2026-01-27T05:22:23Z",,0.0,,,0.0,,0.0,
SP-001,Access and Asset Review,Sprint,sprint-1771310676523,Terzo,40,High,Done,0.25,0.24215278,,,"2026-02-17",Perform Access and Asset Review and share the report to Terzo,,0,"2026-02-17T10:31:41Z",,0.0,,,0.0,,0.0,
task-1768892238750,DPA (for website),Sprint,sprint-1768289722350,Website,30,Medium,Done,0.5,0.9624421,,,"2026-01-20","",,0,"2026-01-21T06:04:01Z",,0.0,,,0.0,,0.0,
CHG-001,Export Functionality Feature.,Change,,People Module,22,High,Done,0.0,0.0,,,"2026-01-28","",Export functinality added in people module.,0,"2026-02-05",,0.0,Ready to Test,,0.0,,0.0,
task-1768893081777,People Page Bug - Adding New Export Button,Sprint,sprint-1768200585609,People,22,High,Done,2.0,0.8254514,,,"2026-01-20","",,0,"2026-01-28T05:16:03Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768205860922,Repository Access,Sprint,sprint-1768200585609,Integration,24,High,Done,2.0,14.230104,,,"2026-01-12",Verify repository access using installation token and validate required GitHub App permissions.,,0,"2026-01-27T05:31:21Z",,0.0,Ready to Test,,0.0,,0.0,
BUG-011,Completion Status,Bug,,Training,22,High,Done,0.0,0.0,,,"2026-01-28",Completion Status displaying wrong,"",0,"2026-01-28",,0.0,Ready to Test,,0.0,,0.0,
task-1768887609181,Regression Testing,Sprint,sprint-1768200585609,Artifact,26,High,Done,0.5,0.011875,,,"2026-01-20","framework updations.
Testing on dev and stage environment",,0,"2026-01-20T05:57:17Z",,0.0,,,0.0,,0.0,
task-1768887779476,Re-Testing,Sprint,sprint-1768200585609,General,26,High,Done,0.5,0.009930556,,,"2026-01-20","testing the fixed bugs updated in mail 
WIZ-817
WIZ-782
WIZ-783
WIZ-806

1. TPRM: Previously, questionnaire completion was enforced only on the frontend. The same validation has now been implemented at the backend to ensure all questions are answered.

2. People Module: File upload was restricted for non-admin users. This issue has been resolved.

3. Bug 821: The overall count and completed count were not updating correctly. This has been fixed.
Training Module: Trainings are now restricted for employees with an Inactive status.

4.People Page: File upload–related issues have been resolved.

5.Postal Code: Clients were unable to add overseas (international) postal pincodes. 

6. This issue has been fixed.
Artifact Approval Notifications: Duplicate email notifications during artifact approval sharing have been reviewed and fixed.",,0,"2026-01-20T05:57:20Z",,0.0,,,0.0,,0.0,
task-1768887467173,Re-testing,Sprint,sprint-1768200585609,Artifact,26,High,Done,0.5,0.013773148,,,"2026-01-20","Testing the artifact module for the new framework updation
on dev and stage environment",,0,"2026-01-20T05:57:43Z",,0.0,,,0.0,,0.0,
CHG-002,Training Video number is not aligned,Change,,Training,22,High,To Do,0.0,0.0,,,"2026-01-28","Under the compliance training section, there are four videos, but the numbering is not aligned correctly.","",0,,,0.0,,,0.0,,0.0,
task-1768213759401,Confidence Calibration,Sprint,sprint-1769504239258,AI AUTO-MAPPING,25,Medium,Done,1.0,0.9735069,,,"2026-01-12","Finalize confidence weighting: semantic_score, artifact_presence, llm_validation, inheritance_penalty",,0,"2026-02-04T13:44:02Z",,0.0,Ready to Test,,0.0,,0.0,
task-1768286853722,PDF to Meta data,Sprint,sprint-1768200585609,AI AUTO-MAPPING,25,Medium,Done,1.0,6.442743,,,"2026-01-13",convert the raw pdf with images to a meta data segregating clauses and standards,,0,"2026-01-19T10:37:33Z",,0.0,,,0.0,,0.0,
task-1768210114104,"Bitbucket Checks – Table Review, Data Import",Sprint,sprint-1768200585609,Integration,18,High,Done,2.0,6.476586,,,"2026-01-12","Check usability of existing Bitbucket checks tables and import checks data into the database to support integration and related functionality.

And also need Invoke access token using the refresh token after the connection is expired only if we initiate scan or trigger the connected bitbucket account.",,0,"2026-01-19T11:26:17Z",,0.0,,,0.0,,0.0,
task-1768888427898,google workspace authentication setup,Sprint,sprint-1768200585609,Integration,23,High,Done,2.0,0.0,,,"2026-01-20","Implemented authentication flow for Google Workspace by configuring OAuth, handling callback redirects, and validating connection status to securely integrate Workspace services with the application.",,0,"2026-01-20T06:02:43Z",,0.0,,,0.0,,0.0,
task-1768889880367,People and Policy Page Filter,Sprint,sprint-1768289722350,People and Policy,30,Medium,Done,0.5,0.019953704,,,"2026-01-20","",,0,"2026-01-20T06:48:55Z",,0.0,,,0.0,,0.0,
task-1768899317087,"Integration check description and Rephrase (Repository, Google Workspace, ZOHO People)",Sprint,sprint-1768289722350,"",30,Medium,Done,0.5,0.07042824,,,"2026-01-20","",,0,"2026-01-20T10:37:01Z",,0.0,,,0.0,,0.0,
task-1768819169848,Auto Standard fetching with description,Sprint,sprint-1768200585609,AI AUTO-MAPPING,25,Medium,Done,2.0,1.78875,,,"2026-01-19",fetching the pdf data and list out the standards as how we do in whizzc,,0,"2026-01-21T05:35:25Z",,0.0,,,0.0,,0.0,
task-1768887941100,Automate the filters in policy,Sprint,sprint-1768200585609,Policy,26,High,Done,2.0,0.9940278,,,"2026-01-20",writing the script fot the policy filter.,,0,"2026-01-21T05:37:13Z",,0.0,,,0.0,,0.0,
task-1768973777207,mapping requirements,Sprint,sprint-1768200585609,AI AUTO-MAPPING,25,Medium,Done,2.0,1.7494212,,,"2026-01-21",mapping fetched clause from the pdf with existing requirements,,0,"2026-01-23T07:23:24Z",,0.0,,,0.0,,0.0,
task-1769066485542,Test case creation on address ,Sprint,sprint-1768200585609,settings module,26,Medium,Done,1.0,4.924927,,,"2026-01-22",creating the testcase for address functionality on settings page in dev environment,,0,"2026-01-27T05:35:35Z",,0.0000347222222222,,,0.0,,0.0,
task-1769504602077,Data Collection,Sprint,sprint-1769504239258,AI VERIFICATION,25,Medium,Done,2.0,1.8444328,,,"2026-01-27",COLLECTING DESCRIPTION FOR AI VERIFICATION,,0,"2026-01-29T05:19:31Z",,0.0,Ready to Test,,0.0,,0.0,
BUG-005,Delete is not working,Bug,,Settings,22,High,Done,0.0,0.02707176,,,"2026-01-22",Delete the address.,"1. Add the address and then delete the address.",0,"2026-02-05",,0.0,Ready to Test,,0.0,,0.0,
task-1769504588301,Management command implementation for bitbucket.,Sprint,sprint-1769504239258,Integration,18,High,Done,1.0,0.8975116,,,"2026-01-27",Implement a cloud scanner management command that dynamically handles bitbucket scans using a cron flow.,,0,"2026-01-29T04:56:13Z",,0.0,Ready to Test,,0.0,,0.0,
BUG-007,change the location name,Change,,Settings,22,High,Done,0.0,0.0,,,"2026-01-22","1. change locamtion name to Landmark.
2. Remove the sort by asc and desc order feature.
3. Remove filter feature.","",0,"2026-02-05",,0.0,Ready to Test,,0.0,,0.0,
CHG-003,"In people page only ""Not Initiated"" and ""Completed"" status is showing.",Change,,people,22,High,To Do,0.0,0.0,,,"2026-01-28","In people page, only ""Not Initiated"" and ""Completed"" status is available. Need to include other statuses ""In-Progress"", ""On-hold""","",0,,,0.0,,,0.0,,0.0,
CHG-004,Information Icon,Change,,Training,22,High,To Do,0.0,0.0,,,"2026-01-28","Need to add information icon for the ""Frequency"", ""Expiry in Days"", ""Reminder in Days"", ""Auto-Initiate""","",0,,,0.0,,,0.0,,0.0,
BUG-003,Error message should display,Bug,,Settings,22,High,Done,0.0,0.084525466,,,"2026-01-22","1. select country and city and state and pincode and click on save.
2. In the backend the error was Letter with space not allowed wrong error displaying","1. when user adding the address and click on the save.",0,"2026-02-05",,0.0,Ready to Test,,0.0,,0.0,
task-1768988379279,Newletter _ jan,Sprint,sprint-1768289722350,"",30,Medium,Done,0.0,5.838831,,,"2026-01-21","",,0,"2026-01-29T05:47:48Z",,0.0,Ready to Test,,0.0,,0.0,
CHG-005,Name Change - Reminder In Days,Change,,Training,22,High,To Do,0.0,0.0,,,"2026-01-28",Need to change the naming for Reminder In Days field in Add Training Profile,"",0,,,0.0,,,0.0,,0.0,
BUG-006,Manual enter must.,Change,,Settings,22,High,Done,0.0,0.06439815,,,"2026-01-22","","1. selecting Aland Island country in that state is not there so manual enter want.
2. same for city manual enter is need when there is no city lists.",0,"2026-02-05",,0.0,Ready to Test,,0.0,,0.0,
task-1769506624145,Code Merging,Sprint,sprint-1769504239258,Integration,23,Medium,Done,0.5,0.15603009,,,"2026-01-27","",,0,"2026-01-27T13:21:55Z",,0.0,Ready to Test,,0.0,,0.0,
SP-010,Discussion with gladwin for org setting flow,Sprint,sprint-1769504239258,"",20,High,Done,0.5,0.0015972222,,,"2026-01-29","",,0,"2026-01-29T11:40:28Z",,0.0,Ready to Test,,0.0,,0.0,
BUG-010,Issue in custom questions,Bug,,TPRM,22,High,To Do,0.0,0.0,,,"2026-01-28","Adding ""-"" in TPRM question there is no error message appears and also the question is not updated until we remove that.","Create custom question in that question add ""_"" and click create.",0,,,0.0,,,0.0,,0.0,
SP-081,Chat bot changes,Sprint,sprint-1770615073846,AI Chatbot,25,Medium,Done,1.0,2.0,,,"2026-02-06",change the chat bot way of answer to a partial queries and invalid queries and add user preferences,,0,"2026-02-09T05:33:17Z",,0.0,Ready to Test,,0.0,,0.0,
BUG-014,New Training Status in Training Portal,Change,,Training,22,High,To Do,0.0,0.0,,,"2026-01-28","Currently New Training Status is showing as ""Not Completed"", request to change the status to ""Yet to Start""","",0,,,0.0,,,0.0,,0.0,
CHG-007,Additional filter option in people page,Change,,people,22,Low,To Do,0.0,0.0,,,"2026-01-28","","",0,,,0.0,,,0.0,,0.0,
SP-005,github scan management command,Sprint,sprint-1769504239258,Integration,24,High,Done,0.5,0.14174768,,,"2026-01-28","",,0,"2026-01-28T13:17:20Z",,0.0,Ready to Test,,0.0,,0.0,
SP-004,Restricted the duplicates code merge,Sprint,sprint-1769504239258,Integration,23,Medium,Done,0.5,0.3250463,,,"2026-01-28","Implemented validation to restrict duplicate entries during the merge process, ensuring data consistency and preventing redundant records.",,0,"2026-01-28T13:43:34Z",,0.0,Ready to Test,,0.0,,0.0,
SP-144,UIDAI - Tables,Sprint,sprint-1771825655592,Framework Delivery,30,Medium,To Do,0.0,0.0,,,"2026-02-17",Need to work on master and mapping tables for UIDAI,,0,,,0.0,,,0.0,,0.0,
SP-008,Sprint Flow deployment,Sprint,sprint-1769504239258,"",20,Medium,Done,0.5,0.0,,,"2026-01-29","",,0,"2026-01-29T05:06:15Z",,0.0,Ready to Test,,0.0,,0.0,
SP-002,Standardize management command for GitLab integration,Sprint,sprint-1769504239258,Integration,21,Medium,Done,1.0,0.007071759,,,"2026-01-28","Standardizing the management command to support GitLab integration using a common, scalable framework.
This involves refactoring the existing Bitbucket-based flow into a provider-driven structure
to enable easy extension for GitLab and future integrations.
",,0,"2026-01-29T05:06:26Z",,0.0,Ready to Test,,0.0,,0.0,
SP-075,M365 Checks,Sprint,sprint-1769677972065,"",30,Medium,Done,0.5,0.46229166,,,"2026-02-06","",,0,"2026-02-06T09:20:15Z",,0.0,Ready to Test,,0.0,,0.0,
SP-061,Planning for AI report generation,Sprint,sprint-1769504239258,AI report generation,25,Medium,Done,0.25,2.6934028,,,"2026-02-05",AI report generation tool kit planning for GRC team,,0,"2026-02-06T07:00:17Z",,0.0,Ready to Test,,0.0,,0.0,
BUG-004,Madatory mark missing,Bug,,Settings,22,Low,Done,0.0,0.004340278,,,"2026-01-22",There is mandatory star is missing on address.,"",0,"2026-02-03",,0.0,Ready to Test,,0.0,,0.0,
SP-156,Internal audit report - kuya,Sprint,sprint-1771310676523,Kuya,38,High,In Progress,0.25,0.0,,,"2026-02-18","Need to submit internal audit report to kuya as internal audit conducted on 17/02/2026
Given credential to siddharth for evidence check",,0,,"2026-02-20T05:34:11Z",0.0,,,0.0,,0.0,
SP-011,Create plan for OnPrem product development,Sprint,,"",20,High,To Do,2.0,0.0,,,"2026-01-29","",,0,,,0.0,,,0.0,,0.0,
task-1768888479036,Smoke and Sanity Testing in production,Sprint,sprint-1768200585609,General,26,High,Done,0.0,1.2652315,,,"2026-01-20","Checking critical functionalities in production after deployment.
Post Release Validation

This release introduces four new frameworks — BCMS, TISAX, DPDPA, and NESA — which are now live in the production environment. In addition, several bugs across multiple modules have been identified and resolved to enhance overall system stability and functionality.
Tickets Addressed in This Release:
WIZ-817
WIZ-782
WIZ-783
WIZ-806
WIZ-821
WIZ-787
Key Updates and Fixes:
TPRM: Previously, questionnaire completion validation was enforced only on the frontend. This validation has now been implemented at the backend to ensure all questions are answered.
People Module: File upload restrictions for non-admin users have been resolved.
Training Module: Trainings are now restricted for employees with an Inactive status.
People Page: File upload–related issues have been fixed, including date format corrections and the addition of an instruction sheet.
Postal Code: The issue preventing clients from adding international postal pincodes has been resolved.
Default Files: Templates and trackers have been moved to the Default Files section, allowing users to edit the files and link them to the respective artifacts.",,0,"2026-01-22T11:57:33Z",,0.0,,,0.0,,0.0,
CHG-006,Modules Reordering. Need to check with Vignesh,Change,,QA,22,Low,To Do,0.0,0.0,,,"2026-01-28","Rearrange the Modules according to the workflow, Ex. Settings page is given at the bottom, it can be moved at the top or other side.","",0,,,0.0,,,0.0,,0.0,
task-1769153104711,Chat bot,Additional,sprint-1768200585609,chat bot,25,High,Done,1.0,3.9227545,,,"2026-01-23",little changes need to be done for chatbot to push it to production,,0,"2026-01-27T05:34:35Z",,0.0,,,0.0,,0.0,
BUG-008,Remove the unassigned in the assignee.,Bug,,Artifact,22,High,Done,0.0,0.01625,,,"2026-01-22","1. remove the unassigned function in both bulk assignee and singal assigne.
2. add assignee remover feature in the artifact.","",0,"2026-02-05",,0.0,Ready to Test,,0.0,,0.0,
ADD-001,Raise the bugs,Additional,sprint-1769504239258,General,26,Medium,Done,2.0,1.8138611,,,"2026-01-28","1. need to update the bugs and feature from the R&D team.",,0,"2026-02-03T07:55:28Z",,2.0743247189467593,Ready to Test,,0.0,,0.0,
task-1769153065138,AI verifier ,Additional,sprint-1768200585609,Artifact,25,High,Done,1.0,3.9227893,,,"2026-01-23",changes need to be made in artifact upload and link to push it to protection,,0,"2026-01-27T05:34:37Z",,0.0,,,0.0,,0.0,
CHG-008,Template Rename,Change,,Artifact,22,High,To Do,0.0,0.0,,,"2026-01-28",Available tracker and template must be renamed based on the exact artifact name,"",0,,,0.0,,,0.0,,0.0,
task-1769504967661,Implement Common Integration Format for Cloud Scanner.,Sprint,sprint-1769504239258,Integration,18,Medium,Done,0.5,0.83269674,,,"2026-01-27","Refactor the cloud scanner to use a common integration flow with dynamic provider-based handling, ensuring all current and future integrations follow a single, maintainable scanning pattern.",,0,"2026-01-28T05:14:46Z",,0.0,Ready to Test,,0.0,,0.0,
SP-009,Discussion with kaviranjini for OnPrem product flow,Sprint,sprint-1769504239258,"",20,Medium,Done,1.0,4.0124073,,,"2026-01-29","",,0,"2026-02-04T05:28:45Z",,0.0,Ready to Test,,0.0,,0.0,
SP-145,Integration Checks Mapping,Sprint,,Integration,30,Medium,To Do,0.0,0.0,,,"2026-02-17","Need to work on Mapping of Integration checks (Repository, Zoho people, Microsoft)",,0,,,0.0,,,0.0,,0.0,
BUG-009,Improper navigation,Bug,,Training,22,High,To Do,0.0,0.0,,,"2026-01-28","After completing the training assessment and attempting to submit it, an error message appears stating: “A minimum of seven correct answers is required to pass the assessment.” but the page stale in assessment page its not redirecting to the video.","1. attend the assessment.
2. Fail the assessment.",0,,,0.0,,,0.0,,0.0,
SP-012,study and prepare MLOP,Sprint,sprint-1769504239258,Whizz AI,25,Medium,Done,2.0,1.7693518,,,"2026-01-29",study and prepare a process for making an auto learning MLOP using the feed back for both auto mapping and chat bot,,0,"2026-01-31T06:54:26Z",,0.0,Ready to Test,,0.0,,0.0,
task-1769162767656,test,Sprint,sprint-1768200585609,tesy,25,Medium,Done,0.0,0.01,,,"2026-01-23",tesy,,0,"2026-01-23T10:07:12Z",,0.0,Testing,"2026-01-27T08:48:46Z",1.7877314814814815,,0.005138888888888889,
BUG-013,Artifact status Filter,Bug,,Artifact,22,High,To Do,0.0,0.0,,,"2026-01-28","While filtering the Status tab, selecting both Approved and Not Approved but it shows only the unapproved requirements.","1. apply filter both approved and not approved.",0,,,0.0,,,0.0,,0.0,
task-1769504780752,common file for scanner file,Sprint,sprint-1769504239258,Integration,24,High,Done,1.0,0.14167824,,,"2026-01-27","",,0,"2026-01-28T13:17:05Z",,0.0,Ready to Test,,0.0,,0.0,
task-1769504866372,Implement Common Integration Format for Management Command,Sprint,sprint-1769504239258,Integration,18,Medium,Done,0.5,0.48424768,,,"2026-01-27","Standardize the management command to support multiple integrations using a common, scalable format with dynamic provider handling.",,0,"2026-01-28T21:46:42Z",,0.0,Ready to Test,,0.0,,0.0,
SP-003,Zoho people integration,Sprint,sprint-1769504239258,Integration,19,Medium,Done,2.0,3.0222569,,,"2026-01-28","changing the code to common encryption flow, scanner calling method, API for checks",,0,"2026-02-02T05:56:51Z",,0.0,Ready to Test,,0.0,,0.0,
SP-082,AI Mapping Verification,Sprint,,"",30,Medium,To Do,0.0,0.0,,,"2026-02-06","",,0,,,0.0,,,0.0,,0.0,
SP-013,GitLab integration code review,Sprint,sprint-1769504239258,Integration,21,Medium,Done,1.0,0.44002315,,,"2026-01-29","Review the existing GitLab integration code to understand the current implementation,
identify gaps, and prepare for upcoming enhancements.",,0,"2026-01-29T18:14:45Z",,0.0,Ready to Test,,0.0,,0.0,
SP-062,suggestion in questionnare model,Sprint,sprint-1769504239258,Questionnare,25,Medium,Done,1.0,2.6644096,,,"2026-02-05",need to suggestion for generated answers from the support kb,,0,"2026-02-06T07:00:17Z",,0.0,Ready to Test,,1.0,,0.0,
SP-078,TPRM Report,Sprint,sprint-1770615834256,"",30,Medium,Done,0.0,0.49850693,,,"2026-02-06","",,0,"2026-02-13T09:07:43Z",,0.0,Ready to Test,,0.0,,0.0,
task-1769508463859,Management command implementation for GitLab integration,Sprint,sprint-1769504239258,Integration,21,High,Done,1.0,0.00071759,,,"2026-01-27","This task involves implementing a cloud scanner management command for GitLab integration.
The command will handle GitLab scans dynamically using a cron-based flow, similar to the existing Bitbucket implementation.
It includes triggering scans, handling scan execution, and reporting pass/fail status based on defined checks.",,0,"2026-01-29T07:35:53Z",,0.0,Ready to Test,,0.0,,0.0,
task-1769506530202,Implementation of Management Command,Sprint,sprint-1769504239258,Integration,23,High,Done,1.0,0.40774307,,,"2026-01-27","Implement a Django management command to handle backend operations that need to be executed via the command line. The command should encapsulate the required business logic, support configurable arguments, and integrate cleanly with existing models and services.

This command will be used for controlled execution of backend processes such as data processing, background operations, or administrative tasks without manual database intervention.",,0,"2026-01-29T07:39:14Z",,0.0,Ready to Test,,0.0,,0.0,
SP-007,code review for the github Integration,Sprint,sprint-1769504239258,Integration,24,Medium,Done,0.5,0.16998842,,,"2026-01-29","",,0,"2026-01-29T11:36:49Z",,0.0,Ready to Test,,0.0,,0.0,
SP-014,Bug Discussion,Sprint,sprint-1769677972065,"",30,Medium,Done,0.5,0.0,,,"2026-01-29","",,0,"2026-01-29T09:20:45Z",,0.0,Ready to Test,,0.0,,0.0,
SP-030,implementing the sample project for docer,Sprint,sprint-1769504239258,General,24,High,Done,1.0,1.1296991,,,"2026-02-02","",,0,"2026-02-03T13:09:46Z",,0.0,Ready to Test,,0.0,,0.0,
